id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1489424,Home in Albany · ★4.74 · 1 bedroom · 1 bed · 1 private bath,5294164,Efrat,,FOURTEENTH WARD,42.66719,-73.8158,Private room,50,1,239,2023-12-08,1.90,1,201,47,
2992450,Rental unit in Albany · ★3.56 · 2 bedrooms · 2 beds · 1 bath,4621559,Kenneth,,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,9,2022-08-17,0.08,1,365,0,
3820211,Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,125,2,291,2023-11-19,2.54,10,361,8,
5651579,Rental unit in Albany · ★4.51 · Studio · 1 bed · 1 bath,29288920,Gregg,,SECOND WARD,42.64615,-73.75966,Entire home/apt,68,2,332,2023-11-12,3.15,3,138,28,
6623339,Rental unit in Albany · ★4.73 · 1 bedroom · 1 bed · 1 bath,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,140,1,305,2023-12-10,2.92,10,0,4,
7563949,Townhouse in Albany · ★4.59 · 1 bedroom · 1 bed · 2 shared baths,39656001,Urbangem,,SECOND WARD,42.64484,-73.75851,Private room,190,1,37,2023-02-19,0.41,6,365,1,
8035768,Home in Albany · ★4.76 · 3 bedrooms · 3 beds · 3.5 baths,42430824,John M,,TENTH WARD,42.66088,-73.78147,Entire home/apt,305,2,55,2023-12-29,0.54,2,365,4,
8035784,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 2.5 shared baths,42430824,John M,,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,2020-07-25,0.18,2,179,0,
8539096,Home in Albany · ★4.88 · 5 bedrooms · 6 beds · 5 baths,19648678,Terra,,NINTH WARD,42.65601,-73.7756,Entire home/apt,750,3,65,2022-08-16,0.66,10,365,0,
8915877,Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,46312980,Robert,,SECOND WARD,42.64603,-73.75986,Entire home/apt,85,3,226,2023-09-18,2.26,1,322,2,
9005989,Rental unit in Albany · ★4.79 · 1 bedroom · 2 beds · 1 bath,17766924,Sugey,,SIXTH WARD,42.65559,-73.76506,Entire home/apt,85,1,574,2023-12-17,6.36,1,0,44,
9501054,Rental unit in Albany · ★4.53 · 1 bedroom · 2 beds · 1 private bath,29288920,Gregg,,SECOND WARD,42.64734,-73.75851,Private room,61,2,363,2023-12-28,3.76,3,165,38,
10768745,Home in Albany · ★4.81 · 1 bedroom · 1 bed · 1 bath,5691268,Elizabeth,,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,50,1,611,2023-12-16,6.34,2,163,92,
11253948,Place to stay in Albany · ★4.94 · 3 bedrooms · 6 beds · 2 baths,4259750,Peter,,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,180,1,138,2023-12-21,1.49,9,0,21,
11639446,Home in Albany · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,ELEVENTH WARD,42.67583,-73.78297,Private room,47,1,229,2023-12-17,2.47,3,363,14,
12284708,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.65912,-73.78349,Private room,45,10,61,2019-10-26,0.66,4,218,0,
12799126,Rental unit in Albany · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,69729286,Musab,,SIXTH WARD,42.65154,-73.76867,Private room,50,5,27,2023-09-16,0.66,2,334,6,
13083497,Home in Albany · ★4.66 · 4 bedrooms · 4 beds · 2 baths,1364123,Akhilesh,,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,173,2023-12-28,1.89,1,335,15,
13711253,Home in Albany · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,TWELFTH WARD,42.68769,-73.79664,Private room,60,2,223,2022-12-06,2.45,3,365,0,
14316232,Home in Albany · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.65726,-73.78219,Private room,46,10,47,2023-05-19,0.52,4,252,3,
14989805,Home in Albany · ★4.96 · 2 bedrooms · 5 beds · 2 baths,4259750,Peter,,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,168,1,81,2023-11-22,0.93,9,358,18,
15580397,Home in Albany · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,89705052,Share,,NINTH WARD,42.65651,-73.77887,Private room,60,2,38,2023-10-12,0.47,3,75,6,
16531782,Rental unit in Albany · ★4.74 · 1 bedroom · 1 bed · 1 bath,5691268,Elizabeth,,FOURTEENTH WARD,42.66075,-73.80605,Entire home/apt,67,1,333,2023-12-26,7.57,2,315,112,
17238066,Home in Albany · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,61700428,Adam,,FIFTH WARD,42.67614,-73.78169,Private room,44,3,130,2023-09-11,1.59,3,365,2,
17514620,Home in Albany · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,36438637,Chad,,TENTH WARD,42.6584,-73.78309,Private room,45,10,52,2023-12-22,0.63,4,339,7,
17552120,Home in Albany · ★4.97 · 1 bedroom · 1 bed · 2 shared baths,20738797,Aaron,,FOURTEENTH WARD,42.65729,-73.80321,Private room,62,1,32,2023-12-07,0.40,1,46,1,
